property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,builtup_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score
flat,unitech sunbreeze,sector 69,0.75,6849.0,2,2,2,4.0,Under Construction,G70026492,991.0,0,0,0,0,0,0,0
flat,whiteland blissville,sector 76,1.92,11500.0,3,3,2,2.0,Under Construction,Q69258518,1672.0,0,0,0,0,0,0,61
house,unitech aspen greens,sector 50,7.0,32407.0,4,4,2,2.0,Old Property,K69342942,2160.0,0,0,0,1,0,0,29
flat,dlf the crest,sector 54,11.0,35484.0,4,5,3+,7.0,Relatively New,P69588354,3444.0,1,1,0,1,0,0,49
flat,chd avenue,sector 71,1.15,6526.0,3,3,2,15.0,Moderately Old,M16781771,1541.0,0,0,0,1,0,2,66
house,independent,sector 14,4.6,20444.0,1,1,0,1.0,Old Property,R67079230,2250.0,0,0,0,0,0,0,0
house,sushant lok 1 builder floors,sector 43,1.95,10077.0,3,4,3+,4.0,New Property,L69688060,1935.0,0,0,0,1,0,2,78
flat,prime habitat,sector 99a,0.27,6049.0,2,2,1,10.0,Relatively New,K69661296,498.0,0,0,0,0,0,0,67
house,unitech uniworld resorts,sector 33,9.5,23333.0,5,7,3+,2.0,Under Construction,Y69896412,4071.0,1,1,1,1,0,0,57
flat,signature global synera,sector 81,0.49,6666.0,2,2,3,5.0,Relatively New,R69389972,700.0,0,0,0,0,0,0,117
flat,supertech basera,sector 79,0.36,7643.0,2,2,1,4.0,New Property,P57613040,546.0,0,0,0,0,0,0,60
flat,dlf the ultima,sector 81,2.4,11412.0,3,4,3+,19.0,Relatively New,W69416782,1903.0,0,0,0,1,0,1,174
flat,ats tourmaline,sector 109,1.75,8139.0,3,4,3+,7.0,Relatively New,D69316216,1797.0,0,0,0,1,0,0,165
flat,smart world orchard,sector 61,2.3,14110.0,3,3,2,2.0,Under Construction,X70004764,1475.0,1,0,0,0,0,0,79
house,independent,sector 13,4.5,9091.0,4,5,2,2.0,Old Property,T61349800,4950.0,0,0,0,0,0,0,0
flat,central park flower valley,sector 33,2.2,10476.0,3,3,3,12.0,New Property,I68814518,1900.0,0,0,0,1,0,2,49
flat,gls arawali homes,sohna road,0.3,5291.0,2,2,0,10.0,Relatively New,W67904444,567.0,0,0,0,0,0,0,0
flat,gls avenue 51,sector 92,0.21,6953.0,1,1,1,0.0,Relatively New,D69622838,336.0,0,0,0,0,0,0,63
flat,prime habitat,sector 99a,0.32,4657.0,2,2,1,7.0,Relatively New,J64704666,601.0,0,0,0,0,0,0,44
flat,signature global city 37d ph 2,sector 37d,1.1,8148.0,3,3,1,2.0,Under Construction,S69121822,1500.0,0,1,0,0,0,0,30
flat,breez global heights,sohna road,0.25,7002.0,1,1,1,1.0,Relatively New,S69270614,386.0,0,0,0,0,0,0,57
house,independent,sector 9,3.4,12938.0,9,9,3,3.0,Moderately Old,O69749646,2628.0,0,0,0,0,0,2,61
flat,pareena coban residences,sector 99a,1.32,6609.0,3,5,3,11.0,New Property,Z69589064,1737.0,0,0,0,1,0,0,88
house,independent,sector 50,7.0,23333.0,4,4,2,3.0,Old Property,A68809650,3400.0,0,0,0,1,0,0,118
flat,m3m ikonic,sector 68,1.8,9230.0,3,3,3+,18.0,Relatively New,C69523822,1845.0,0,0,0,0,0,2,126
flat,chd avenue,sector 71,0.95,7929.0,2,2,2,5.0,Moderately Old,D69904562,1084.0,0,0,0,0,0,2,142
flat,shapoorji pallonji joyville gurugram,sector 102,1.26,10370.0,2,2,3,7.0,Relatively New,W70022160,1100.0,0,0,0,0,0,2,49
flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,0.0,Old Property,O64568872,2900.0,0,0,0,0,0,0,0
flat,signature global city 92,sector 92,0.78,11142.0,2,2,3,2.0,Under Construction,C69153300,846.0,0,0,0,0,1,0,24
flat,m3m golf hills,sector 79,1.45,10211.0,2,2,3,15.0,Under Construction,D69857690,1578.0,0,0,0,0,0,0,67
flat,godrej,sector 79,2.03,9046.0,3,4,3+,7.0,Relatively New,U69438590,2031.0,0,0,0,1,0,0,118
flat,indiabulls centrum park,sector 103,2.4,8347.0,4,6,3+,15.0,Relatively New,N68495966,2456.0,0,0,0,1,0,0,156
flat,dlf the ultima,sector 81,2.4,11412.0,3,3,3+,12.0,Relatively New,Q70145884,1650.0,0,0,0,1,0,1,49
flat,madhur jeevan apartments,sector 56,1.59,8594.0,4,3,3+,3.0,Old Property,E69442206,1900.0,0,0,0,0,1,2,33
flat,vatika iris floors,sector 82,0.63,5590.0,2,2,3+,2.0,Relatively New,T67087386,1026.0,1,0,0,0,0,0,110
flat,pareena coban residences,sector 99a,1.4,7010.0,3,5,3+,6.0,New Property,D70171158,1807.0,0,0,0,0,0,0,15
flat,mapsko mount ville,sector 79,1.2,8053.0,3,3,3,24.0,Relatively New,J69571808,1348.0,0,0,0,0,0,2,8
house,dlf city plots phase 2,sector 25,10.75,29861.0,9,9,3+,3.0,Old Property,U69430128,3600.0,0,1,1,1,0,0,73
flat,bestech altura,sector 79,1.72,8400.0,3,4,3,9.0,New Property,R70191744,2050.0,0,0,0,0,0,0,49
flat,conscient heritage max,sector 102,2.22,13875.0,3,4,3+,15.0,Relatively New,L68345584,2000.0,1,0,0,1,0,0,82
flat,smart world orchard,sector 61,2.45,15800.0,3,3,3,3.0,New Property,G68879412,1223.0,1,0,0,1,0,0,119
house,independent,sector 7,8.0,22222.0,4,5,3+,1.0,Old Property,W59999200,3600.0,1,1,0,1,0,0,31
flat,tarc maceo,sector 91,1.75,11121.0,4,3,3+,8.0,Relatively New,H65096484,2107.0,1,1,1,1,0,0,128
flat,smart world gems,sector 89,1.71,12000.0,3,2,0,3.0,New Property,U68022596,1423.0,0,0,0,0,0,0,45
flat,rof ananda,sector 95,0.2,5463.0,1,1,1,10.0,Relatively New,D69372680,407.0,0,0,0,0,0,0,82
flat,sare crescent parc,sector 92,0.49,4909.0,2,2,2,2.0,Relatively New,M59252680,1109.0,0,0,0,0,0,0,96
flat,sare crescent parc,sector 92,1.0,5128.0,4,3,2,1.0,Relatively New,K64895528,2167.0,0,0,0,0,0,0,49
flat,sobha city,sector 108,2.6,15195.0,3,3,2,11.0,New Property,Z67948628,1711.0,0,0,0,0,0,0,49
flat,whiteland blissville,sector 76,1.9,11363.0,3,3,2,0.0,Under Construction,N67620566,1513.0,0,0,0,0,0,0,61
house,independent,sector 14,7.5,16600.0,3,3,2,1.0,Old Property,B69775082,4518.0,1,1,0,1,0,2,27
flat,ardee city,sector 52,1.55,7381.0,4,4,3,1.0,Moderately Old,Y68863904,2100.0,0,0,0,0,0,0,0
flat,bestech park view residency,sector 2,0.56,8553.0,1,1,2,7.0,Moderately Old,V70071796,722.0,0,0,0,0,0,0,92
flat,tulip violet,sector 69,2.05,9950.0,4,4,2,0.0,Relatively New,N69721252,1889.0,0,0,0,0,0,0,157
house,sector 14 rwa,sector 14,6.5,20635.0,4,4,3+,2.0,Moderately Old,J68581688,3150.0,0,0,0,0,0,0,0
flat,godrej summit,sector 104,1.3,9027.0,3,2,3+,16.0,Relatively New,G52699170,1303.0,1,1,1,0,0,2,0
flat,raheja maheshwara,sohna road,0.48,4367.0,2,2,2,11.0,Under Construction,Y69825504,995.0,0,0,0,0,0,0,45
flat,vatika lifestyle homes,sector 83,1.05,7500.0,3,2,2,1.0,Moderately Old,K64577386,1600.0,0,0,0,0,0,2,106
flat,alpha corp gurgaonone,sector 84,2.24,6523.0,4,4,3,12.0,Relatively New,Z70006908,3165.0,0,0,0,1,0,0,20
house,naman residency,sector 4,0.5,11111.0,2,2,2,2.0,New Property,A62486368,450.0,1,1,0,1,1,0,14
flat,ss the leaf,sector 85,1.2,9677.0,2,2,3+,9.0,Relatively New,Y69963252,1491.0,0,0,1,0,0,0,148
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,3,3.0,New Property,K68569738,1288.0,1,0,0,0,1,0,61
house,independent,sector 13,0.62,3588.0,6,6,0,3.0,Old Property,Y69854246,192.0,0,0,0,0,0,0,0
flat,mapsko paradise,sector 83,0.75,5597.0,3,3,3,10.0,New Property,G69826630,1162.0,0,0,0,0,1,2,49
house,independent,sector 38,2.1,23333.0,2,7,3+,3.0,Relatively New,A68711470,900.0,1,1,1,0,0,0,27
house,independent,sector 9,0.6,10753.0,2,2,1,1.0,Moderately Old,X68581854,558.0,0,0,0,0,0,0,8
house,smart world orchard,sector 61,2.01,13000.0,3,3,3,4.0,Under Construction,I69546738,1549.0,0,0,0,0,0,0,145
flat,supertech hues,sector 68,0.93,8611.0,2,2,2,11.0,New Property,A68633102,1200.0,0,0,0,0,0,0,0
flat,mapsko casa bella,sector 82,3.0,6134.0,4,6,3+,25.0,Relatively New,K69026234,4425.0,0,1,0,1,0,2,119
flat,tulip ivory,sector 70,2.35,9791.0,4,4,3+,10.0,Moderately Old,R69327588,2667.0,0,0,0,1,0,2,65
flat,assotech blith,sector 99,0.92,6739.0,2,2,3+,22.0,Under Construction,K68182666,1235.0,0,0,0,0,0,0,56
flat,ss the leaf,sector 85,1.93,8075.0,3,4,3,7.0,Relatively New,R65906980,2400.0,0,0,0,1,0,0,174
flat,dlf regal gardens,sector 90,1.78,8036.0,4,4,3+,8.0,Relatively New,O69621840,2000.0,0,0,0,0,0,0,126
flat,chintels paradiso,sector 109,1.8,8866.0,3,3,2,0.0,Moderately Old,Y68783892,1910.0,0,0,0,1,0,0,83
house,jacob pura,sector 12,0.35,9722.0,2,1,0,2.0,Old Property,Y4463709,360.0,0,0,0,0,0,0,0
flat,central park resorts,sector 48,11.25,28266.0,4,5,3+,2.0,Relatively New,Z69174760,4422.0,0,1,0,1,0,0,45
house,independent,sector 24,3.5,32407.0,2,4,3,3.0,Old Property,F59524312,1080.0,0,0,0,0,0,0,15
flat,shree vardhman victoria,sector 70,1.64,8384.0,3,5,3,3.0,Relatively New,Z69936736,1527.0,0,0,0,1,0,0,51
flat,godrej nature plus,sector 33,1.1,7971.0,2,2,2,14.0,Under Construction,E69238060,1533.0,0,0,0,0,0,0,56
flat,ansal plaza,sector 2,1.0,10000.0,2,3,0,1.0,Moderately Old,R69716994,1000.0,0,0,0,0,0,0,0
flat,gls arawali homes,sohna road,0.26,4513.0,2,2,2,4.0,Relatively New,N69671442,640.0,0,0,0,0,0,0,42
flat,corona optus,sector 37c,1.43,7185.0,3,3,3+,2.0,Relatively New,Y70044792,1834.0,0,0,0,1,1,0,49
flat,smart world gems,sector 89,0.9,8145.0,2,2,2,1.0,New Property,U69383626,1105.0,0,0,0,0,0,0,45
flat,rof aalayas,sector 102,0.45,8404.0,2,2,1,14.0,Relatively New,V70147230,568.0,0,0,0,0,0,1,57
flat,the close north,sector 50,3.0,11516.0,3,3,3+,14.0,Old Property,U69330420,2357.0,0,0,0,1,0,2,121
house,independent,sector 25,4.31,31926.0,5,4,3,3.0,Old Property,R70186684,1350.0,0,0,0,0,0,0,40
flat,sare homes,sector 92,0.6,5000.0,3,2,3,4.0,Moderately Old,M63520026,1333.0,0,0,0,0,0,2,49
house,independent,sector 37d,2.5,13157.0,5,5,3+,2.0,Relatively New,M62190402,1900.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.4,8928.0,3,3,1,12.0,Relatively New,Y69407304,1419.0,0,0,0,0,0,0,157
flat,shapoorji pallonji joyville gurugram,sector 102,1.35,14754.0,2,2,2,10.0,Under Construction,J50926486,828.0,0,0,0,0,0,0,22
flat,mrg skyline,sector 106,1.82,13392.0,3,2,2,4.0,Relatively New,H69258514,1359.0,0,0,0,0,0,0,0
flat,ramsons kshitij,sector 95,0.28,3650.0,2,2,2,5.0,New Property,O48320397,694.0,0,0,0,0,1,0,0
flat,not applicable,sector 4,0.42,5600.0,2,2,1,3.0,Relatively New,D68585736,833.0,0,0,0,0,0,2,26
flat,mvn athens,sohna road,0.25,5198.0,2,2,0,0.0,Relatively New,G69536248,481.0,0,0,0,0,0,0,37
flat,godrej nature plus,sector 33,1.65,8266.0,3,3,3,2.0,Under Construction,T70164984,2218.0,0,0,0,1,0,0,37
flat,pareena coban residences,sector 99a,1.35,6761.0,3,5,3,6.0,New Property,R50041892,1807.0,0,0,0,1,1,0,60
flat,belgravia resort residences,sector 48,3.45,18459.0,3,3,3,14.0,Moderately Old,R69770990,1869.0,0,0,0,0,0,0,0
flat,paras quartier,gwal pahari,5.9,11028.0,4,4,3+,19.0,New Property,I69400446,4842.0,1,1,1,1,0,2,160
flat,tata primanti,sector 72,3.4,15560.0,3,4,3+,9.0,Moderately Old,R68296740,2185.0,0,0,0,1,0,0,38
flat,godrej nature plus,sector 33,1.15,11558.0,2,2,2,15.0,Under Construction,C69218264,103.0,0,0,0,0,0,0,38
flat,ss the leaf,sector 85,1.09,6661.0,2,2,3,5.0,Relatively New,M69584914,1475.0,0,0,0,0,0,0,49
house,emaar mgf marbella,sector 66,12.0,37037.0,4,4,3+,3.0,Relatively New,V68413060,3240.0,1,1,1,1,0,2,160
flat,m3m latitude,sector 65,4.6,26791.0,3,3,3,7.0,New Property,C69594442,1717.0,1,1,1,1,0,0,115
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,0,4.0,New Property,Q68653922,1423.0,0,0,0,0,0,0,61
house,independent,sector 26,4.5,33333.0,5,5,3+,2.0,Old Property,V64373068,1350.0,0,0,0,0,0,0,7
flat,dlf new town heights,sector 86,1.4,5942.0,4,4,3+,20.0,Relatively New,N44044469,2132.0,0,1,0,1,0,0,65
flat,nbcc heights,sector 89,0.75,6578.0,2,2,2,6.0,Moderately Old,R69736118,1032.0,0,0,0,0,0,0,0
house,independent,sector 70a,2.1,3889.0,3,2,1,3.0,New Property,V66132478,667.0,0,0,0,0,0,0,0
flat,shree vardhman flora,sector 90,0.9,4615.0,3,4,3,4.0,Relatively New,E69230140,1765.0,0,0,0,1,0,0,165
flat,sare crescent parc royal greens phase 1,sector 92,1.25,5832.0,4,4,3,20.0,Relatively New,S59340330,1939.0,0,0,0,1,0,0,60
flat,trisara our homes 3,sohna road,0.35,5564.0,2,2,1,2.0,New Property,W69771698,699.0,0,0,0,0,0,0,74
flat,bestech park view sanskruti,sector 92,1.6,8020.0,3,4,3+,10.0,Relatively New,J68766492,1615.0,0,0,0,1,1,2,174
flat,my home,new sector 2,0.28,3166.0,2,1,1,2.0,Relatively New,P68640518,1000.0,0,0,0,0,1,0,15
flat,ireo victory valley,sector 67,3.05,16266.0,3,4,2,35.0,Relatively New,K69604018,2200.0,1,0,0,1,0,2,165
flat,pivotal devaan,sector 84,0.36,7588.0,2,2,1,9.0,Relatively New,Y69866580,531.0,0,0,1,0,0,1,80
flat,dlf new town heights,sector 86,1.3,6735.0,3,3,3,12.0,Moderately Old,N69323318,1747.0,0,0,0,1,0,2,165
flat,signature global park,sohna road,0.53,6295.0,2,2,2,1.0,Relatively New,Q69364724,939.0,0,1,0,0,0,0,168
flat,chd avenue,sector 71,1.25,7171.0,3,4,2,7.0,Relatively New,J69644050,1577.0,0,0,0,1,0,2,160
flat,shree vardhman flora,sector 90,0.65,4814.0,2,2,3,6.0,Relatively New,Y69230080,1222.0,1,0,0,0,0,0,165
flat,godrej,sector 79,1.41,9000.0,2,2,3,3.0,New Property,J57709348,1747.0,1,0,0,0,0,0,104
house,independent,sector 26,15.0,33333.0,4,4,3,3.0,Moderately Old,E70408864,4500.0,0,0,1,1,0,2,36
house,sobha city,sector 108,10.5,14323.0,5,4,3+,1.0,Relatively New,K68014772,7331.0,0,0,0,0,0,0,59
house,huda housing board colony,sector 31,4.6,31507.0,2,4,3+,3.0,Old Property,J68546094,1460.0,0,0,0,0,1,0,8
flat,ambience creacions,sector 22,2.55,13709.0,3,3,3,5.0,Relatively New,W70124530,1860.0,0,0,0,0,0,1,49
house,independent,sector 105,1.2,10122.0,3,2,1,2.0,Old Property,M68435552,1185.51,0,0,0,0,0,0,9
flat,krrish florence estate,sector 70,1.25,6703.0,3,3,3,18.0,Under Construction,H33897213,1688.0,0,0,0,0,0,0,51
flat,pyramid elite,sector 86,0.45,7846.0,2,2,1,12.0,Under Construction,Y62774964,637.0,0,0,0,0,0,0,30
house,ansal sushant lok plots,sector 43,7.0,25926.0,5,5,3+,3.0,Relatively New,P69749546,2700.0,1,1,0,1,0,2,41
flat,conscient heritage max,sector 102,1.78,9218.0,3,4,3+,5.0,Moderately Old,Y70043228,1748.0,0,0,0,1,0,0,125
house,independent,sector 43,5.25,27132.0,4,4,2,2.0,Old Property,D70255234,1935.0,1,0,0,1,0,2,80
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2,2,2,12.0,Relatively New,L69124940,828.0,0,0,0,0,0,0,100
flat,dlf regal gardens,sector 90,1.65,7449.0,4,4,3+,8.0,Relatively New,K39291191,1900.0,0,0,0,0,1,0,79
house,independent,sector 14,5.5,16975.0,5,4,2,2.0,Old Property,W69298054,3240.0,1,0,0,0,0,0,27
flat,m3m merlin,sector 67,2.9,14167.0,3,3,3,0.0,Relatively New,E69965508,2047.0,0,0,0,0,1,2,49
flat,capital residences 360,sector 70a,1.18,8137.0,2,2,3,7.0,New Property,H70121978,1400.0,0,1,0,0,0,0,140
flat,dlf park place,sector 54,5.75,24689.0,3,4,3,12.0,Relatively New,S69025780,2329.0,0,0,0,1,0,1,174
flat,shapoorji pallonji joyville gurugram,sector 102,2.15,12706.0,3,3,3,10.0,Relatively New,T69506328,1690.0,0,0,0,0,0,2,49
flat,imperia the esfera,sector 37c,0.98,5399.0,3,4,3,9.0,Relatively New,T70039480,1660.0,0,0,0,1,1,0,49
flat,paras dews,sector 106,0.92,6642.0,2,2,3+,2.0,Relatively New,K69956704,940.0,0,0,0,0,0,0,174
house,independent,sector 11,1.35,3857.0,10,6,3+,3.0,Old Property,F66612390,3500.0,0,0,0,0,0,0,0
flat,ansal heights 86,sector 86,1.3,4666.0,4,6,2,11.0,New Property,C69834778,2521.0,0,0,0,1,1,0,86
flat,gls avenue 51,sector 92,0.5,7812.0,3,3,1,0.0,Relatively New,K70171656,579.0,0,0,0,0,0,0,0
flat,antriksh heights,sector 84,0.88,4821.0,3,3,3,16.0,Relatively New,B69994018,1652.0,0,1,0,0,0,0,67
flat,shapoorji pallonji joyville gurugram,sector 102,1.75,15514.0,3,3,3+,1.0,Relatively New,M69179478,1465.0,0,0,0,0,0,0,49
flat,trisara our homes 3,sohna road,0.36,5980.0,2,2,1,1.0,New Property,X69296614,522.0,0,0,0,0,0,0,45
flat,global height,sohna road,0.45,6338.0,2,2,2,6.0,Relatively New,K69386204,789.0,0,0,0,0,0,1,49
house,international city by sobha phase 1,sector 109,12.0,20000.0,5,6,3,2.0,Relatively New,T69969484,7000.0,1,0,0,1,0,2,154
flat,dlf the ultima,sector 81,3.45,12012.0,4,4,3+,10.0,New Property,O68573508,2599.0,0,0,0,1,0,1,165
flat,ramprastha the edge towers,sector 37d,0.8,5797.0,2,2,3,2.0,Relatively New,L32300223,1300.0,0,0,0,0,0,0,78
flat,ss the coralwood,sector 84,1.1,5820.0,3,3,3+,12.0,Moderately Old,G67478760,1710.0,0,0,0,0,0,2,104
flat,signature global solera,sector 107,0.25,7862.0,1,1,0,0.0,Relatively New,V69417148,318.0,0,0,0,0,0,0,55
flat,m3m merlin,sector 67,3.0,14655.0,3,3,3+,4.0,Relatively New,G69977302,2047.0,0,0,1,0,0,2,174
flat,gls arawali homes,sohna road,0.32,6722.0,2,1,0,0.0,Relatively New,Y69511686,476.0,0,0,0,0,0,0,0
house,sector 57 huda,sector 57,3.8,26063.0,2,8,3+,4.0,Relatively New,T70302452,1458.0,0,1,1,0,0,2,94
flat,vatika the seven lamps,sector 82,1.0,5923.0,2,2,2,11.0,Relatively New,E68345410,1299.0,1,0,0,0,0,2,90
flat,raheja sampada,sector 92,0.65,4744.0,3,2,3,6.0,Relatively New,B68691862,1240.0,0,0,0,0,0,0,49
flat,ss the leaf,sector 85,1.15,10017.0,2,2,3+,18.0,Relatively New,V69884868,1380.0,0,0,1,0,0,0,156
flat,shyam apartment,sector 3,0.26,3714.0,2,1,2,2.0,Relatively New,O67430330,611.0,0,0,0,0,0,0,0
flat,the close north,sector 50,2.97,11401.0,3,3,3+,8.0,Moderately Old,J68958234,2600.0,0,0,0,1,0,2,174
house,independent,sector 105,0.7,5833.0,3,2,2,1.0,Moderately Old,T69560398,1200.0,0,0,0,0,0,0,0
flat,sbr minda sec-1 imt manesar,manesar,0.64,4193.0,3,2,3+,6.0,Old Property,T68302040,1696.0,0,0,0,0,0,0,51
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.0,4,5,3+,4.0,Moderately Old,U68713020,1717.0,0,0,0,1,0,0,37
flat,signature global solera,sector 107,0.6,8000.0,3,2,2,8.0,Relatively New,D69442244,750.0,0,0,0,0,0,0,55
house,dlf city plots,sector 26,17.3,38737.0,6,7,3+,3.0,New Property,N69761704,4518.0,1,1,1,1,0,2,124
flat,ashiana mulberry,sohna road,0.74,6016.0,2,2,3+,12.0,Relatively New,J69435708,1367.0,0,0,0,0,0,0,71
flat,vipul lavanya,sector 81,1.0,8000.0,2,2,2,7.0,Relatively New,L59164194,1131.0,0,0,0,0,0,0,31
house,not applicable,sector 4,0.4,9259.0,1,1,1,1.0,Moderately Old,G68404978,432.0,0,0,0,0,0,0,0
flat,ireo the grand arch,sector 58,4.85,16934.0,4,5,3,23.0,Relatively New,V69807832,3182.0,1,1,0,1,1,2,49
flat,imt view society,manesar,0.95,3653.0,3,4,3,6.0,Moderately Old,Y70129276,2232.0,0,0,0,1,0,0,81
flat,dlf new town heights,sector 90,1.25,6476.0,3,3,3+,17.0,Relatively New,I41322939,1700.0,0,1,0,1,0,0,65
flat,ss radiance residency,sector 12,0.6,5660.0,3,3,2,3.0,Relatively New,K64553310,1178.0,0,0,0,0,0,0,44
flat,godrej oasis,sector 88a,1.38,6679.0,3,3,3+,7.0,Relatively New,D66119148,2296.0,0,0,0,1,0,0,72
flat,umang winter hills,sector 37,0.99,7857.0,2,2,2,1.0,Relatively New,S66360270,1126.0,0,0,0,0,0,0,97
flat,ramprastha primera,sector 37d,1.2,13333.0,3,3,3,5.0,Relatively New,I70027322,1000.0,0,0,1,0,0,0,50
flat,emaar palm gardens,sector 83,1.55,9011.0,3,3,3,4.0,Relatively New,I69975884,1400.0,0,0,0,1,0,2,174
flat,emaar palm gardens,sector 83,1.8,9474.0,3,4,0,9.0,Relatively New,C69873450,1900.0,0,0,0,0,0,0,55
flat,paras dews,sector 106,1.2,11605.0,3,3,3,12.0,Relatively New,P69532002,1145.0,1,0,0,0,0,0,158
house,independent,sector 12,2.75,12343.0,6,6,2,2.0,Old Property,M68021346,2228.0,0,0,0,0,0,0,0
flat,shree vardhman flora,sector 90,0.95,6333.0,3,3,3,9.0,Relatively New,M67782914,1667.0,0,0,0,1,0,0,90
flat,dnha group housing society,manesar,0.75,4518.0,3,2,2,5.0,Moderately Old,T65385394,1502.0,0,0,0,0,0,0,0
flat,ansal maple crescent,sector 43,1.35,10037.0,3,3,3,2.0,Old Property,E69939552,1320.0,0,0,0,0,1,2,93
flat,godrej summit,sector 104,1.75,7530.0,4,5,3+,1.0,New Property,U69644544,2582.0,0,0,0,1,0,0,60
flat,ss the leaf,sector 85,1.2,7317.0,2,2,3+,14.0,Relatively New,F69963546,1380.0,0,0,1,0,0,0,141
flat,breez global heights,sohna road,0.28,7142.0,1,1,1,4.0,New Property,K64745980,443.0,0,0,0,0,0,1,26
flat,central park flower valley,sector 33,1.4,21538.0,3,3,3,2.0,Under Construction,L68985938,588.0,0,0,0,0,0,0,54
flat,experion the heartsong,sector 108,1.2,6825.0,3,3,3+,10.0,Relatively New,F53928076,1275.53,1,0,0,0,0,0,93
house,independent,sector 25,13.5,37313.0,5,6,3+,4.0,Old Property,Z66212908,3618.0,0,0,0,0,1,2,79
flat,experion the heartsong,sector 108,2.0,8554.0,3,3,3+,14.0,Relatively New,H53750408,2116.0,0,0,0,1,0,0,95
flat,imperia the esfera,sector 37c,0.99,5454.0,3,4,3,9.0,Relatively New,E70042222,1660.0,0,0,0,1,0,0,49
flat,sare petioles,sector 92,1.25,6097.0,3,3,3,18.0,Under Construction,Q69196420,2278.0,0,0,0,1,0,0,44
flat,gls arawali homes,sohna road,0.28,4938.0,2,2,2,3.0,Relatively New,A64130284,500.0,0,0,0,0,0,2,42
flat,tulip violet,sector 69,1.7,8457.0,4,4,2,10.0,Relatively New,O68587792,1804.0,1,1,1,1,0,0,174
house,independent,sector 57,3.6,20833.0,4,4,2,2.0,Old Property,P70155616,1728.0,1,1,1,1,0,0,110
house,independent,manesar,2.0,14954.0,3,1,0,3.0,Moderately Old,X59260682,1337.4,0,0,0,0,0,0,16
house,emaar mgf marbella,sector 66,12.0,38095.0,5,6,3+,3.0,Relatively New,R69735166,3150.0,0,0,1,1,0,2,153
house,independent,sector 56,2.99,20635.0,4,4,2,2.0,Moderately Old,N68716724,1449.0,1,1,0,1,0,2,49
house,sare crescent parc royal greens phase 1,sector 92,0.85,4877.0,4,4,3,4.0,Relatively New,I67903906,1743.0,0,0,0,0,0,0,0
flat,bestech park view residency,sector 2,1.5,7825.0,3,4,3+,10.0,Moderately Old,C68936042,1738.0,0,0,0,1,0,0,93
house,independent,sector 14,6.46,18889.0,5,5,2,3.0,Moderately Old,W69298002,3420.0,1,1,0,1,0,2,27
flat,la vida by tata housing,sector 113,1.93,12222.0,3,3,2,8.0,Under Construction,M68912518,1429.0,0,0,0,0,0,0,71
flat,supertech hues,sector 68,0.9,7627.0,2,2,2,1.0,New Property,L68419576,1311.0,0,0,0,0,0,0,44
flat,indiabulls enigma,sector 110,4.0,9851.0,4,4,3,17.0,New Property,P68022282,3350.0,0,0,0,0,0,0,59
flat,godrej,sector 79,1.3,8269.0,2,2,3,3.0,New Property,F69444128,1423.0,1,0,0,0,0,0,49
flat,avl 36 gurgaon,sector 36a,0.45,9000.0,1,1,1,9.0,Relatively New,M70184602,452.0,0,0,0,0,0,0,0
flat,experion windchants,sector 112,4.25,11294.0,3,5,2,15.0,Relatively New,K69595770,3000.0,0,1,0,1,0,0,72
flat,shree vardhman flora,sector 90,0.66,5076.0,2,2,3,4.0,Relatively New,L68039528,1122.0,1,0,0,0,0,0,119
flat,parsvnath green ville,sector 48,1.5,8787.0,3,3,3,1.0,Old Property,H69850926,1600.0,0,0,0,0,0,2,128
house,international city by sobha phase 1,sector 109,5.5,21605.0,4,4,3+,2.0,New Property,D68134820,2430.0,0,0,0,1,0,0,61
house,independent,sector 50,10.45,38704.0,4,5,2,3.0,Moderately Old,P69636830,4000.0,1,1,0,1,0,2,142
flat,dlf the ultima,sector 81,2.2,11190.0,3,4,3+,7.0,Relatively New,D55026596,1900.0,0,0,0,1,0,1,104
house,independent,sector 48,5.5,23504.0,4,4,2,2.0,Relatively New,E69532914,2340.0,0,0,0,1,0,2,22
flat,shree vardhman flora,sector 90,0.96,5120.0,3,4,3,3.0,New Property,B69527984,1697.0,0,0,0,1,0,0,106
house,independent,sector 105,0.5,5556.0,2,2,0,1.0,Moderately Old,E69442302,100.0,0,0,0,0,0,0,0
flat,dlf the primus,sector 82a,2.6,11438.0,4,4,3+,2.0,Relatively New,U69271332,2273.0,0,0,0,0,1,0,38
flat,umang winter hills,sector 77,0.86,6408.0,2,2,2,16.0,New Property,J54539884,1214.0,0,0,0,0,0,2,79
house,vipul tatvam villa,sector 48,8.5,21250.0,4,5,3+,2.0,Moderately Old,M69102772,4000.0,1,1,0,1,1,2,49
flat,m3m capital,sector 113,2.0,12012.0,3,3,2,24.0,Under Construction,O66540184,1507.0,0,0,0,0,0,0,47
house,uppal southend,sector 49,3.75,25562.0,2,6,3,3.0,Moderately Old,M69431990,1467.0,0,0,0,0,1,0,49
